step,fitness,genome
18,161.09242,"[4 4 0 1 1 3 2 1 3 0 1 4 4 2 1 1 4 4 3 4 1 1 1 2 3 2 4 0 4 2 1 0 2 2 3 3 1
 1 2 0 2 3 3 3 4 4 2 1 3 3 3 1 3 0 3 2 4 2 0 2 4 3 0 2 2 1 1 3 3 0 2 3 2 2
 0 0 1 3 2 1 2]"
19,176.73616,"[2 4 0 1 1 3 2 4 3 0 1 3 2 1 1 1 4 4 3 2 1 1 1 2 3 0 3 0 1 2 1 1 3 2 1 3 1
 1 2 0 2 3 4 3 4 3 2 4 3 3 4 1 3 2 3 0 4 1 0 2 4 4 3 0 2 1 1 3 3 2 2 3 0 2
 0 0 1 0 2 2 2]"
20,77.17558,"[2 4 3 4 2 1 1 3 4 0 4 0 1 1 3 2 4 4 2 3 1 2 1 2 3 0 2 1 1 3 3 2 2 4 3 3 3
 1 0 0 2 3 2 3 2 4 3 3 3 1 0 0 1 1 2 2 3 0 0 4 1 3 3 1 3 4 1 3 1 4 2 3 0 2
 0 3 2 4 2 3 3]"
21,95.656,"[2 4 0 1 1 3 2 4 0 0 1 4 1 1 1 0 4 3 2 2 3 1 1 2 1 0 3 0 1 2 1 1 4 2 3 3 1
 1 2 0 2 3 4 3 4 3 2 4 4 3 4 1 3 2 3 2 1 2 3 2 4 3 0 0 2 1 1 3 3 2 2 3 1 2
 0 0 1 0 2 4 2]"
22,127.37009,"[1 4 3 4 2 3 1 3 4 0 3 0 1 1 3 2 4 3 2 3 1 2 1 2 3 0 2 1 1 3 3 2 3 2 3 3 3
 1 2 0 2 3 2 3 2 4 3 3 1 1 0 0 1 1 1 2 3 0 0 4 2 3 3 0 3 2 1 4 1 4 2 3 0 2
 0 3 1 3 3 3 3]"
23,86.33209,"[1 4 3 4 2 3 1 3 4 0 3 0 1 1 3 2 4 3 2 3 1 2 1 2 3 0 4 1 1 3 3 4 3 2 4 3 3
 1 2 0 2 3 2 3 2 4 3 0 0 1 0 0 2 1 1 2 3 0 1 4 2 0 3 0 3 2 1 4 1 3 2 3 0 2
 0 3 1 3 4 3 3]"
24,83.57723,"[1 4 3 4 4 3 1 3 4 0 3 4 1 1 0 2 0 3 3 3 1 2 1 2 1 0 1 1 1 3 3 3 3 2 4 3 3
 1 2 0 2 3 2 3 2 4 3 0 0 1 0 0 2 1 1 2 3 2 1 4 2 0 3 0 3 2 1 4 1 3 2 3 0 2
 2 2 1 3 4 3 3]"
25,142.03596,"[2 2 0 1 0 3 2 1 0 0 3 3 4 2 3 3 4 4 3 2 1 1 4 0 3 1 3 1 1 3 4 1 3 4 0 4 0
 0 1 0 2 3 4 3 4 3 0 4 3 4 4 1 2 1 2 1 2 2 1 0 4 3 2 2 2 0 1 3 2 4 3 0 3 0
 3 1 4 3 1 1 2]"
26,419.7236,"[2 2 0 1 3 3 2 1 0 2 3 3 4 2 3 3 4 4 3 2 1 1 4 0 3 1 3 1 1 3 4 1 3 4 1 4 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 0 4 3 2 1 2 2 1 3 2 4 3 0 3 3
 3 1 4 3 1 2 2]"
27,133.17836,"[2 4 0 1 1 3 2 4 3 0 1 3 2 1 3 1 4 4 3 3 3 1 4 2 3 1 3 0 1 3 1 1 4 2 3 3 0
 1 2 0 2 3 4 3 4 3 2 4 3 3 4 1 2 2 3 1 4 2 0 1 4 3 0 2 2 2 0 3 3 2 2 0 0 4
 0 0 0 0 2 4 2]"
28,282.58282,"[2 4 0 1 2 3 0 0 0 2 3 2 4 2 3 3 4 4 3 2 1 1 4 0 2 1 3 1 1 3 4 1 3 4 4 4 0
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 4 4 3 2 1 1 2 1 3 2 4 3 0 3 3
 3 1 4 3 1 2 2]"
29,392.96375,"[2 4 1 1 2 3 0 0 0 2 3 1 4 2 3 3 4 4 3 2 1 1 1 0 2 1 3 4 1 3 4 1 3 4 4 4 0
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 4 4 3 2 1 1 2 1 3 2 4 3 3 2 1
 3 1 4 3 1 2 2]"
30,174.64919,"[4 4 2 1 4 3 2 0 3 2 3 1 4 2 1 3 4 4 0 2 3 1 4 0 2 1 3 4 2 3 4 1 4 4 4 4 1
 0 1 0 2 3 4 1 1 2 1 1 1 4 4 1 2 1 2 2 2 2 0 4 4 3 2 1 1 2 1 3 2 4 1 3 2 1
 3 1 4 3 1 2 2]"
31,254.9492,"[4 4 2 1 4 3 1 0 3 2 4 1 3 2 3 3 4 4 0 0 1 1 4 0 2 1 3 4 4 3 4 1 4 4 3 4 1
 0 1 0 2 3 4 1 1 1 1 1 1 4 4 1 2 1 2 2 2 2 0 4 4 2 2 1 1 2 1 3 2 4 1 3 2 1
 3 1 1 3 1 3 2]"
32,405.37393,"[2 2 0 1 3 3 2 1 0 2 3 3 4 2 3 3 4 4 3 4 4 1 4 0 3 1 3 2 0 3 3 1 3 4 1 4 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 0 4 3 2 1 2 2 1 3 2 0 2 0 3 3
 3 1 4 3 4 2 2]"
33,291.2807,"[3 2 0 1 3 4 2 1 0 2 3 3 1 2 3 3 4 4 2 2 1 3 4 0 3 1 3 1 1 3 4 1 3 4 3 4 4
 0 2 0 2 3 4 3 4 1 1 4 1 4 4 1 4 1 3 2 2 2 0 0 4 3 2 1 2 2 1 3 2 3 0 0 3 2
 3 1 4 3 1 2 2]"
34,111.32398,"[0 2 0 1 0 0 3 4 3 0 3 0 4 0 4 2 4 2 4 2 1 0 4 3 3 4 3 2 0 1 0 1 4 3 3 1 0
 0 2 0 2 2 2 1 4 2 3 4 2 0 4 4 3 1 2 2 1 0 1 1 2 2 2 1 2 4 0 3 2 0 3 0 4 1
 2 1 3 0 1 2 0]"
35,357.09488,"[3 2 0 1 3 3 2 1 0 2 1 3 4 2 3 3 4 4 3 2 1 1 4 0 3 4 3 1 1 3 4 1 3 4 1 4 2
 0 3 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 0 4 3 2 1 2 2 1 3 2 4 3 4 1 3
 3 1 3 3 1 2 4]"
36,120.444115,"[2 0 4 1 3 3 3 2 0 2 3 3 4 2 3 2 4 4 4 2 1 4 4 0 3 1 3 4 1 3 3 1 4 3 1 4 2
 1 1 0 2 3 0 3 4 2 1 4 1 4 4 1 0 1 3 2 2 2 0 4 4 3 4 1 1 2 1 3 2 0 3 2 2 3
 2 1 4 3 1 2 4]"
37,256.484,"[2 2 1 1 3 3 2 4 0 2 3 3 4 2 3 0 4 3 3 2 1 1 3 0 2 1 3 1 1 2 4 4 2 4 4 4 0
 0 1 0 2 3 4 3 1 2 4 4 1 4 4 4 2 4 2 2 0 2 0 4 4 3 2 1 2 2 1 3 2 4 2 0 1 0
 0 1 4 4 1 4 0]"
38,354.56152,"[2 1 0 1 3 3 2 1 1 2 3 3 4 2 3 3 4 4 3 2 1 1 4 0 3 1 3 1 1 3 4 1 3 3 1 2 2
 0 2 0 2 3 4 3 4 2 4 4 1 4 3 1 2 1 2 4 0 2 0 0 4 2 2 3 0 2 1 3 2 4 0 0 0 3
 3 1 4 3 1 2 2]"
39,136.74782,"[1 2 0 1 3 4 2 1 0 2 4 4 4 2 3 3 4 4 3 2 1 1 3 0 3 1 2 1 0 3 4 1 3 4 1 4 2
 2 1 0 2 3 4 3 4 2 4 4 1 4 4 1 2 3 2 2 2 2 0 0 4 3 2 1 2 2 1 4 2 4 2 3 3 3
 3 1 4 3 1 0 2]"
40,411.02286,"[2 2 0 1 3 2 2 1 0 0 3 3 4 2 3 3 4 4 3 2 1 1 4 0 0 1 3 1 1 3 4 1 3 4 0 4 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 0 1 2 0 2 2 2 2 0 0 4 3 1 1 2 2 1 3 2 4 3 0 3 3
 3 1 4 3 3 2 2]"
41,409.14767,"[2 2 0 1 3 2 2 1 0 0 3 3 4 2 3 3 4 4 3 2 1 1 4 0 2 1 3 4 2 3 1 1 3 4 0 4 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 0 1 2 0 2 2 2 2 3 0 3 3 1 1 2 2 1 3 2 4 3 2 3 3
 3 1 4 3 3 2 2]"
42,162.83562,"[2 2 0 1 4 2 1 1 0 0 2 3 4 2 1 3 4 4 3 4 1 1 2 0 0 0 3 0 4 3 4 1 4 4 0 1 2
 0 3 0 2 3 4 4 4 2 1 3 1 4 3 1 4 0 2 2 2 2 2 0 2 3 1 1 2 2 1 3 2 0 3 0 3 3
 3 1 4 3 3 4 2]"
43,417.15372,"[2 2 0 1 3 3 2 1 0 2 3 0 4 2 3 3 4 2 2 2 1 1 4 0 3 1 3 1 1 3 4 1 3 4 1 4 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 2 2 0 0 2 1 0 1 2 2 3 3 2 4 3 0 3 3
 3 1 4 3 1 2 2]"
44,415.8345,"[2 1 0 1 3 3 2 1 1 2 3 3 4 2 3 3 3 4 3 3 1 1 4 0 3 4 4 1 1 2 4 1 3 4 1 3 2
 0 1 0 2 3 4 3 4 2 1 4 1 4 4 1 2 1 2 2 3 2 0 0 3 3 1 1 3 2 1 3 2 4 0 0 3 3
 3 2 4 3 1 2 2]"
45,217.99011,"[2 2 0 1 3 3 2 4 0 2 3 3 4 2 3 3 4 4 2 2 1 1 4 0 3 1 3 1 1 3 0 1 3 4 1 1 2
 0 1 0 2 3 4 3 4 2 1 4 1 2 4 0 2 2 2 4 0 2 0 0 4 3 2 1 2 2 1 3 2 4 3 0 3 3
 3 1 4 3 3 2 2]"
46,203.85622,"[2 2 0 1 3 3 2 4 1 2 3 3 4 2 2 3 2 4 2 2 1 1 4 0 3 1 3 1 1 3 0 1 3 4 1 1 0
 0 1 0 2 3 4 3 4 2 0 4 1 2 4 0 2 2 2 4 2 2 0 0 4 3 2 3 2 0 1 3 2 4 3 4 3 3
 3 1 4 3 3 0 2]"
47,201.61438,"[2 2 0 1 3 3 4 4 1 2 3 3 4 2 2 3 2 4 2 2 3 1 4 4 2 1 3 1 1 3 0 0 3 4 3 1 0
 0 1 0 2 3 4 3 2 2 0 4 1 2 4 0 2 2 1 4 2 2 0 0 4 3 2 3 2 0 1 3 2 4 3 4 1 3
 3 1 4 3 3 0 2]"
48,86.19114,"[2 2 0 1 3 3 2 4 1 2 3 3 4 2 1 3 2 4 2 2 3 1 4 0 4 1 1 2 1 3 0 0 3 4 3 1 0
 0 1 0 2 3 4 3 2 2 0 4 1 4 4 3 2 2 1 4 0 2 2 0 2 3 2 1 2 0 1 3 2 4 3 4 1 3
 3 1 1 2 3 2 3]"
49,304.54562,"[2 2 0 1 1 2 2 1 0 0 3 4 4 2 3 3 4 4 3 2 1 1 4 0 1 1 1 1 1 3 4 1 3 4 2 4 2
 0 2 0 2 3 4 3 4 0 1 4 1 4 3 1 2 1 4 2 2 2 0 0 4 3 2 1 2 4 0 3 2 2 3 0 3 3
 3 1 4 3 1 2 1]"
